id  ,City                                   ,State ,Low estimate ,Best Guess ,High estimate ,Source1
1   ,"Abilene, TX"                          ,TX    ,200.0        ,200.0      ,200.0         ,http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/
2   ,"Accident, MD"                         ,MD    ,54.0         ,54.0       ,54.0          ,http://www.riverfronttimes.com/newsblog/2017/01/23/stranded-far-from-washington-dc-these-st-louis-women-marched-in-rural-maryland
3   ,"Adak, AK"                             ,AK    ,10.0         ,10.0       ,10.0          ,adn.com
4   ,"Adrian, MI"                           ,MI    ,150.0        ,150.0      ,150.0         ,http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader
5   ,"Ajo, AZ"                              ,AZ    ,250.0        ,250.0      ,250.0         ,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500
6   ,"Alameda, CA"                          ,CA    ,8.0          ,8.0        ,8.0           ,FB
7   ,"Alamosa, CO"                          ,CO    ,350.0        ,350.0      ,350.0         ,https://twitter.com/zepol/status/823234973935239172
8   ,"Albany, CA"                           ,CA    ,500.0        ,500.0      ,500.0         ,https://twitter.com/ben_silverman/status/823032391841132545
9   ,"Albany, NY"                           ,NY    ,7000.0       ,7900.0     ,9000.0        ,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php
10  ,"Alexandria, VA"                       ,VA    ,17.0         ,17.0       ,17.0          ,https://twitter.com/TinaPStacy/status/823226044643680257
11  ,"Albuquerque, NM"                      ,NM    ,3000.0       ,8400.0     ,15000.0       ,http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736
12  ,"Alliance, NE"                         ,NE    ,100.0        ,125.0      ,150.0         ,eyewtiness onsite w/ headcount
13  ,"Almanor West, CA"                     ,CA    ,4.0          ,4.0        ,4.0           ,eyewitness; picture
14  ,"Alpine, TX"                           ,TX    ,96.0         ,96.0       ,96.0          ,https://twitter.com/sarahmvasquez/status/823189717659176960
15  ,"Amarillo, TX"                         ,TX    ,600.0        ,645.0      ,700.0         ,https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/
16  ,"Amelia Island, FL"                    ,FL    ,700.0        ,1000.0     ,1367.0        ,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372
17  ,"Anacortes, WA"                        ,WA    ,1200.0       ,1200.0     ,1200.0        ,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html
18  ,"Anchorage, AK"                        ,AK    ,2000.0       ,2900.0     ,4000.0        ,https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/
19  ,"Angola, IN"                           ,IN    ,24.0         ,42.0       ,60.0          ,http://wane.com/2017/01/21/womens-marches-in-allen-and-steuben-county-protest-trump/
20  ,"Ann Arbor, MI"                        ,MI    ,11000.0      ,11000.0    ,11000.0       ,http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html
21  ,"Annapolis, MD"                        ,MD    ,1600.0       ,1600.0     ,1600.0        ,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html
22  ,"Annville, PA"                         ,PA    ,30.0         ,30.0       ,30.0          ,http://www.ldnews.com/videos/news/2017/01/21/watch-voices-women's-march-annville/96901782/
23  ,"Appleton, WI"                         ,WI    ,3.0          ,3.0        ,3.0           ,http://www.sheboyganpress.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/
24  ,"Arden, DE"                            ,DE    ,40.0         ,45.0       ,50.0          ,onsite eyewitness via google form; did headcount
25  ,"Asbury Park, NJ"                      ,NJ    ,6000.0       ,6000.0     ,6000.0        ,https://twitter.com/JuliaJHobbs/status/822955160116793344
26  ,"Asheville, NC"                        ,NC    ,7000.0       ,8350.0     ,10000.0       ,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville
27  ,"Ashland, OR"                          ,OR    ,8000.0       ,11150.0    ,15000.0       ,http://www.oregonlive.com/trending/2017/01/womens_march_oregon_ashland_ph.html
28  ,"Aspen, CO"                            ,CO    ,200.0        ,560.0      ,1000.0        ,http://www.aspendailynews.com/section/home/174009
29  ,"Astoria, OR"                          ,OR    ,1300.0       ,1435.0     ,1600.0        ,http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump
30  ,"Athens, GA"                           ,GA    ,700.0        ,2635.0     ,5000.0        ,http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1
31  ,"Athens, OH"                           ,OH    ,300.0        ,390.0      ,500.0         ,http://www.athensnews.com/news/local/hundreds-take-to-athens-streets-to-protest-trump-two-party/article_a05f8d96-a9cc-11e6-adc2-afe09ec722c0.html
32  ,"Atlanta, GA"                          ,GA    ,60000.0      ,61350.0    ,63000.0       ,http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/
33  ,"Augusta, GA"                          ,GA    ,600.0        ,600.0      ,600.0         ,http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march
34  ,"Augusta, ME"                          ,ME    ,5000.0       ,7250.0     ,10000.0       ,http://www.pressherald.com/2017/01/21/thousands-converge-on-augusta-for-womens-march-on-maine-rally/
35  ,"Austin, TX"                           ,TX    ,33000.0      ,50550.0    ,72000.0       ,organizer ran out of stickers after handing out 33k via google form
36  ,"Avalon, CA"                           ,CA    ,44.0         ,44.0       ,44.0          ,https://twitter.com/lisakate111/status/823018370094071808
37  ,"Bailey, CO"                           ,CO    ,5.0          ,5.0        ,5.0           ,FB
38  ,"Bainbridge Island, WA"                ,WA    ,200.0        ,268.0      ,350.0         ,http://www.bainbridgereview.com/news/march-through-winslow/
39  ,"Bakersfield, CA"                      ,CA    ,88.0         ,119.0      ,150.0         ,http://bakersfieldnow.com/news/local/local-women-join-millions-more-across-the-nation-for-womens-equality
40  ,"Baltimore, MD"                        ,MD    ,5000.0       ,5000.0     ,5000.0        ,http://www.baltimoresun.com/news/maryland/bs-md-baltimore-sister-march-20170121-story.html
41  ,"Bar Harbor, ME"                       ,ME    ,50.0         ,53.0       ,55.0          ,Eyewitness on site
42  ,"Bandon, OR"                           ,OR    ,70.0         ,70.0       ,70.0          ,FB
43  ,"Bayfield, WI"                         ,WI    ,427.0        ,427.0      ,427.0         ,FB
44  ,Beaufort                               ,NC    ,11.0         ,11.0       ,11.0          ,onsite eyewitness; photograph
45  ,"Beaumont, TX"                         ,TX    ,300.0        ,300.0      ,300.0         ,FB
46  ,"Beaver, PA"                           ,PA    ,275.0        ,288.0      ,300.0         ,onsite eyewitness w/ headcount
47  ,"Beaver Island, MI"                    ,MI    ,18.0         ,20.0       ,22.0          ,Onsite eyewitness; headcount
48  ,"Bellingham, WA"                       ,WA    ,5000.0       ,5450.0     ,6000.0        ,https://t.co/iyjFHSXHEq
