id  ,State                ,County               ,Year   ,Days with AQI ,Good Days ,Moderate Days ,Unhealthy for Sensitive Groups Days ,Unhealthy Days ,Very Unhealthy Days ,Hazardous Days ,Max AQI
1   ,Alabama              ,Baldwin              ,2020.0 ,11.0          ,11.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
2   ,Alabama              ,Clay                 ,2020.0 ,5.0           ,5.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,31.0
3   ,Alabama              ,DeKalb               ,2020.0 ,59.0          ,59.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,45.0
4   ,Alabama              ,Etowah               ,2020.0 ,8.0           ,8.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,40.0
5   ,Alabama              ,Jefferson            ,2020.0 ,32.0          ,26.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
6   ,Alabama              ,Mobile               ,2020.0 ,30.0          ,27.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,58.0
7   ,Alabama              ,Montgomery           ,2020.0 ,29.0          ,21.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
8   ,Alabama              ,Morgan               ,2020.0 ,31.0          ,31.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,37.0
9   ,Alabama              ,Russell              ,2020.0 ,31.0          ,28.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,57.0
10  ,Alabama              ,Shelby               ,2020.0 ,31.0          ,28.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,51.0
11  ,Alabama              ,Sumter               ,2020.0 ,31.0          ,31.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,36.0
12  ,Alabama              ,Tuscaloosa           ,2020.0 ,9.0           ,9.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,34.0
13  ,Alaska               ,Denali               ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,44.0
14  ,Alaska               ,Matanuska-Susitna    ,2020.0 ,2.0           ,1.0       ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,87.0
15  ,Arizona              ,Apache               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,18.0
16  ,Arizona              ,Cochise              ,2020.0 ,91.0          ,90.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
17  ,Arizona              ,Coconino             ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
18  ,Arizona              ,Gila                 ,2020.0 ,91.0          ,79.0      ,11.0          ,1.0                                 ,0.0            ,0.0                 ,0.0            ,110.0
19  ,Arizona              ,La Paz               ,2020.0 ,91.0          ,90.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,51.0
20  ,Arizona              ,Maricopa             ,2020.0 ,92.0          ,59.0      ,31.0          ,1.0                                 ,1.0            ,0.0                 ,0.0            ,199.0
