id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
1    ,Tue 8/31  ,Alabama                  ,699729                ,12283
2    ,Tue 8/31  ,Alaska                   ,87842                 ,427
3    ,Tue 8/31  ,Arizona                  ,1011923               ,18786
4    ,Tue 8/31  ,Arkansas                 ,452891                ,6934
5    ,Tue 8/31  ,California               ,4449186               ,65863
6    ,Tue 8/31  ,Colorado                 ,619083                ,7319
7    ,Tue 8/31  ,Connecticut              ,373072                ,8358
8    ,Tue 8/31  ,Delaware                 ,119852                ,1880
9    ,Tue 8/31  ,District of Columbia     ,55431                 ,1160
10   ,Tue 8/31  ,Florida                  ,3250454               ,44561
11   ,Tue 8/31  ,Georgia                  ,1372605               ,22007
12   ,Tue 8/31  ,Guam                     ,11528                 ,150
13   ,Tue 8/31  ,Hawaii                   ,61353                 ,586
14   ,Tue 8/31  ,Idaho                    ,221463                ,2364
15   ,Tue 8/31  ,Illinois                 ,1527348               ,26500
16   ,Tue 8/31  ,Indiana                  ,861937                ,14491
17   ,Tue 8/31  ,Iowa                     ,404747                ,6268
18   ,Tue 8/31  ,Kansas                   ,370128                ,5589
19   ,Tue 8/31  ,Kentucky                 ,579693                ,7826
20   ,Tue 8/31  ,Louisiana                ,679796                ,12359
21   ,Tue 8/31  ,Maine                    ,75856                 ,932
22   ,Tue 8/31  ,Maryland                 ,497225                ,10014
23   ,Tue 8/31  ,Massachusetts            ,759869                ,18246
24   ,Tue 8/31  ,Michigan                 ,1058765               ,21535
25   ,Tue 8/31  ,Minnesota                ,650057                ,7904
26   ,Tue 8/31  ,Mississippi              ,436722                ,8409
27   ,Tue 8/31  ,Missouri                 ,774864                ,11271
28   ,Tue 8/31  ,Montana                  ,127248                ,1800
29   ,Tue 8/31  ,Nebraska                 ,244254                ,2590
30   ,Tue 8/31  ,Nevada                   ,390600                ,6510
31   ,Tue 8/31  ,New Hampshire            ,107689                ,1417
32   ,Tue 8/31  ,New Jersey               ,1091966               ,26882
33   ,Tue 8/31  ,New Mexico               ,232614                ,4520
34   ,Tue 8/31  ,New York                 ,2276228               ,53847
35   ,Tue 8/31  ,North Carolina           ,1215455               ,14485
36   ,Tue 8/31  ,North Dakota             ,117529                ,1592
37   ,Tue 8/31  ,Northern Mariana Islands ,241                   ,2
38   ,Tue 8/31  ,Ohio                     ,1220900               ,20866
39   ,Tue 8/31  ,Oklahoma                 ,551958                ,7812
40   ,Tue 8/31  ,Oregon                   ,276287                ,3211
41   ,Tue 8/31  ,Pennsylvania             ,1300368               ,28235
42   ,Tue 8/31  ,Puerto Rico              ,204067                ,2860
43   ,Tue 8/31  ,Rhode Island             ,162617                ,2770
44   ,Tue 8/31  ,South Carolina           ,735287                ,10598
45   ,Tue 8/31  ,South Dakota             ,132259                ,2069
46   ,Tue 8/31  ,Tennessee                ,1032434               ,13378
47   ,Tue 8/31  ,Texas                    ,3604438               ,57205
48   ,Tue 8/31  ,Utah                     ,464502                ,2634
49   ,Tue 8/31  ,Vermont                  ,28200                 ,276
