id,Name,Breed Group,Bred For,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
1,Affenpinscher,Toy,"Small rodent hunting, lapdog",10.0,12.0,9.0,12.0,6.0,13.0,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg
2,Afghan Hound,Hound,Coursing and hunting,10.0,13.0,25.0,27.0,50.0,60.0,"Aloof, Clownish, Dignified, Independent, Happy",https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg
3,Airedale Terrier,Terrier,"Badger, otter hunting",10.0,13.0,21.0,23.0,40.0,65.0,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",https://cdn2.thedogapi.com/images/PG8UPLSVU.jpg
4,Akbash Dog,Working,Sheep guarding,10.0,12.0,28.0,34.0,90.0,120.0,"Loyal, Independent, Intelligent, Brave",https://cdn2.thedogapi.com/images/SyfsC19NQ_1280.jpg
5,Akita,Working,Hunting bears,10.0,14.0,24.0,28.0,65.0,115.0,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",https://cdn2.thedogapi.com/images/36TXlWMDf.jpg
6,Alapaha Blue Blood Bulldog,Mixed,Guarding,12.0,13.0,18.0,24.0,55.0,90.0,"Loving, Protective, Trainable, Dutiful, Responsible",https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
7,Alaskan Husky,Mixed,Sled pulling,10.0,13.0,23.0,26.0,38.0,50.0,"Friendly, Energetic, Loyal, Gentle, Confident",https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
8,Alaskan Malamute,Working,"Hauling heavy freight, Sled pulling",12.0,15.0,23.0,25.0,65.0,100.0,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",https://cdn2.thedogapi.com/images/GhtSdrW29.jpg
9,American Eskimo Dog,Non-Sporting,Circus performer,12.0,15.0,15.0,19.0,20.0,40.0,"Friendly, Alert, Reserved, Intelligent, Protective",https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg
10,American Foxhound,Hound,"Fox hunting, scent hound",8.0,15.0,21.0,28.0,65.0,75.0,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",https://cdn2.thedogapi.com/images/uISezUGDV.jpg
11,American Pit Bull Terrier,Terrier,Fighting,10.0,15.0,17.0,21.0,30.0,60.0,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",https://cdn2.thedogapi.com/images/HkC31gcNm_1280.png
12,American Water Spaniel,Sporting,Bird flushing and retrieving,10.0,12.0,15.0,18.0,25.0,45.0,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg
13,Anatolian Shepherd Dog,Working,Livestock herding,11.0,13.0,27.0,29.0,80.0,150.0,"Steady, Bold, Independent, Confident, Intelligent, Proud",https://cdn2.thedogapi.com/images/BJT0Jx5Nm_1280.jpg
14,Australian Kelpie,Herding,"Farm dog, Cattle herding",10.0,13.0,17.0,20.0,31.0,46.0,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",https://cdn2.thedogapi.com/images/Hyq1ge9VQ_1280.jpg
