id,State,Year,National Rank,Female Senate Democrats,Female Senate Republicans,Female Senate Independents,Female Senate Other,Female Senate Total,Total Senate Members,Female House Democrats,Female House Republicans,Female House Independents,Female House Other,Female House Total,Total House Members,Total Females in Legislature,Total Legislature Members,Percentage of Females in Legislature
1,Alabama,2019.0,45.0,4.0,0.0,0.0,0.0,4.0,35.0,11.0,8.0,0.0,0.0,19.0,105.0,23.0,140.0,16.4
2,Alaska,2019.0,7.0,1.0,0.0,5.0,0.0,6.0,20.0,6.0,11.0,0.0,0.0,17.0,40.0,23.0,60.0,38.3
3,Arizona,2019.0,6.0,7.0,6.0,0.0,0.0,13.0,30.0,14.0,8.0,0.0,0.0,22.0,60.0,35.0,90.0,38.9
4,Arkansas,2019.0,36.0,3.0,4.0,0.0,0.0,7.0,35.0,9.0,17.0,0.0,0.0,26.0,100.0,33.0,135.0,24.4
5,California,2019.0,18.0,11.0,3.0,0.0,0.0,14.0,40.0,21.0,3.0,0.0,0.0,24.0,80.0,38.0,120.0,31.7
6,Colorado,2019.0,2.0,12.0,1.0,0.0,0.0,13.0,35.0,26.0,7.0,0.0,0.0,33.0,65.0,46.0,100.0,46.0
7,Connecticut,2019.0,17.0,8.0,1.0,0.0,0.0,9.0,36.0,29.0,22.0,0.0,0.0,51.0,151.0,60.0,187.0,32.1
8,Deleware,2019.0,37.0,4.0,1.0,0.0,0.0,5.0,21.0,9.0,1.0,0.0,0.0,10.0,41.0,15.0,62.0,24.2
9,Florida,2019.0,24.0,6.0,6.0,0.0,0.0,12.0,40.0,23.0,13.0,0.0,0.0,36.0,120.0,48.0,160.0,30.0
10,Georgia,2019.0,23.0,13.0,2.0,0.0,0.0,15.0,56.0,42.0,15.0,0.0,0.0,57.0,180.0,72.0,236.0,30.5
11,Hawaii,2019.0,20.0,7.0,0.0,0.0,0.0,7.0,25.0,14.0,3.0,0.0,0.0,17.0,51.0,24.0,76.0,31.6
12,Idaho,2019.0,16.0,4.0,5.0,0.0,0.0,9.0,35.0,8.0,17.0,0.0,0.0,25.0,70.0,34.0,105.0,32.4
13,Illinois,2019.0,11.0,17.0,2.0,0.0,0.0,19.0,59.0,37.0,8.0,0.0,0.0,45.0,118.0,64.0,177.0,36.2
14,Indiana,2019.0,33.0,2.0,8.0,0.0,0.0,10.0,50.0,17.0,11.0,0.0,0.0,28.0,100.0,38.0,150.0,25.3
15,Iowa,2019.0,25.0,6.0,5.0,0.0,0.0,11.0,50.0,23.0,10.0,0.0,0.0,33.0,100.0,44.0,150.0,29.3
16,Kansas,2019.0,28.0,6.0,8.0,0.0,0.0,14.0,40.0,17.0,15.0,0.0,0.0,32.0,125.0,46.0,165.0,27.9
17,Kentucky,2019.0,39.0,2.0,2.0,0.0,0.0,4.0,38.0,18.0,10.0,0.0,0.0,28.0,100.0,33.0,138.0,23.2
18,Louisiana,2019.0,47.0,3.0,2.0,0.0,0.0,5.0,39.0,8.0,9.0,0.0,0.0,17.0,105.0,22.0,144.0,15.3
