id  ,Country or region                                    ,"Individuals using the Internet by percentage of population, 2018" ,"Secure Internet servers per million people, 2018"
1   ,Afghanistan                                          ,14.0                                                               ,53.0
2   ,Albania                                              ,72.0                                                               ,526.0
3   ,Algeria                                              ,49.0                                                               ,68.0
4   ,Andorra                                              ,92.0                                                               ,5194.0
5   ,Angola                                               ,14.0                                                               ,11.0
6   ,Antigua and Barbuda                                  ,76.0                                                               ,841.0
7   ,Argentina                                            ,74.0                                                               ,1873.0
8   ,Armenia                                              ,65.0                                                               ,335.0
9   ,Aruba                                                ,97.0                                                               ,1153.0
10  ,Australia                                            ,87.0                                                               ,32904.0
11  ,Austria                                              ,88.0                                                               ,16705.0
12  ,Azerbaijan                                           ,80.0                                                               ,329.0
13  ,"Bahamas, The"                                       ,85.0                                                               ,2357.0
14  ,Bahrain                                              ,99.0                                                               ,371.0
15  ,Bangladesh                                           ,15.0                                                               ,116.0
16  ,Barbados                                             ,82.0                                                               ,869.0
17  ,Belarus                                              ,79.0                                                               ,3421.0
18  ,Belgium                                              ,89.0                                                               ,13973.0
19  ,Belize                                               ,47.0                                                               ,11596.0
20  ,Benin                                                ,20.0                                                               ,7.0
21  ,Bermuda                                              ,98.0                                                               ,8151.0
22  ,Bhutan                                               ,48.0                                                               ,178.0
23  ,Bolivia                                              ,44.0                                                               ,130.0
24  ,Bosnia and Herzegovina                               ,70.0                                                               ,1935.0
25  ,Botswana                                             ,47.0                                                               ,134.0
26  ,Brazil                                               ,70.0                                                               ,2036.0
27  ,British Virgin Islands                               ,78.0                                                               ,330716.0
28  ,Brunei Darussalam                                    ,95.0                                                               ,1989.0
29  ,Bulgaria                                             ,65.0                                                               ,38224.0
30  ,Burkina Faso                                         ,16.0                                                               ,3.0
31  ,Burundi                                              ,3.0                                                                ,6.0
32  ,Cabo Verde                                           ,57.0                                                               ,498.0
33  ,Cambodia                                             ,40.0                                                               ,81.0
34  ,Cameroon                                             ,23.0                                                               ,5.0
35  ,Canada                                               ,91.0                                                               ,30953.0
36  ,Cayman Islands                                       ,81.0                                                               ,11531.0
37  ,Central African Republic                             ,4.0                                                                ,1.0
38  ,Chad                                                 ,7.0                                                                ,1.0
39  ,Chile                                                ,82.0                                                               ,8073.0
40  ,China                                                ,54.0                                                               ,447.0
41  ,Colombia                                             ,64.0                                                               ,651.0
42  ,Comoros                                              ,9.0                                                                ,7.0
43  ,"Congo, Dem. Rep."                                   ,9.0                                                                ,3.0
44  ,"Congo, Rep."                                        ,9.0                                                                ,6.0
45  ,Costa Rica                                           ,74.0                                                               ,1206.0
46  ,Cote d'Ivoire                                        ,47.0                                                               ,12.0
47  ,Croatia                                              ,75.0                                                               ,19555.0
48  ,Cuba                                                 ,57.0                                                               ,16.0
49  ,Curacao                                              ,68.0                                                               ,3786.0
50  ,Cyprus                                               ,84.0                                                               ,6372.0
51  ,Czech Republic                                       ,81.0                                                               ,42345.0
52  ,Denmark                                              ,97.0                                                               ,123154.0
53  ,Djibouti                                             ,56.0                                                               ,38.0
54  ,Dominica                                             ,70.0                                                               ,6632.0
55  ,Dominican Republic                                   ,75.0                                                               ,122.0
56  ,Ecuador                                              ,57.0                                                               ,266.0
57  ,"Egypt, Arab Rep."                                   ,47.0                                                               ,35.0
58  ,El Salvador                                          ,34.0                                                               ,91.0
59  ,Equatorial Guinea                                    ,26.0                                                               ,10.0
60  ,Eritrea                                              ,1.0                                                                ,0.0
61  ,Estonia                                              ,89.0                                                               ,48893.0
62  ,Eswatini                                             ,47.0                                                               ,54.0
63  ,Ethiopia                                             ,19.0                                                               ,2.0
64  ,Faroe Islands                                        ,98.0                                                               ,4640.0
65  ,Fiji                                                 ,50.0                                                               ,173.0
66  ,Finland                                              ,89.0                                                               ,33999.0
67  ,France                                               ,82.0                                                               ,20421.0
68  ,French Polynesia                                     ,73.0                                                               ,742.0
69  ,Gabon                                                ,62.0                                                               ,26.0
70  ,"Gambia, The"                                        ,20.0                                                               ,25.0
71  ,Georgia                                              ,63.0                                                               ,2182.0
72  ,Germany                                              ,90.0                                                               ,56407.0
