id  ,State ,Office         ,First Name  ,Last Name               ,Party ,Seat Status ,Primary ,General      ,Race
1   ,ND    ,Insurance      ,Travisia    ,Martin                  ,D     ,C           ,W       ,Lost primary ,B/NA/W
2   ,AK    ,U.S. Rep.      ,Alyse       ,Galvin                  ,D     ,C           ,W       ,L            ,W
3   ,AL    ,P.S.C.         ,Laura       ,Casey                   ,D     ,C           ,W       ,L            ,W
4   ,AL    ,U.S. Rep.      ,Phyllis     ,Harvey-Hall             ,D     ,O           ,W       ,L            ,B
5   ,AL    ,U.S. Rep.      ,Adia        ,Winfrey                 ,D     ,C           ,W       ,L            ,B
6   ,AR    ,U.S. Rep.      ,Joyce       ,Elliott                 ,D     ,C           ,W       ,L            ,B
7   ,AR    ,U.S. Rep.      ,Celeste     ,Williams                ,D     ,C           ,W       ,L            ,W
8   ,AZ    ,Corp Comm      ,Shea        ,Stanfield               ,D     ,O           ,W       ,L            ,W
9   ,AZ    ,U.S. Rep.      ,Delina      ,DiSanto                 ,D     ,C           ,W       ,L            ,W
10  ,AZ    ,U.S. Rep.      ,Joan        ,Greene                  ,D     ,C           ,W       ,L            ,W
11  ,AZ    ,U.S. Rep.      ,Tiffany     ,Shedd                   ,R     ,C           ,W       ,L            ,W
12  ,AZ    ,U.S. Rep.      ,Hiral       ,Tipirneni               ,D     ,C           ,W       ,L            ,AP
13  ,AZ    ,U.S. Sen.      ,Martha      ,McSally                 ,R     ,I           ,W       ,L            ,W
14  ,CA    ,U.S. Rep.      ,Ronda       ,Baldwin-Kennedy         ,R     ,C           ,W       ,L            ,B
15  ,CA    ,U.S. Rep.      ,Chris       ,Bish                    ,R     ,C           ,W       ,L            ,W
16  ,CA    ,U.S. Rep.      ,Chris       ,Bubser                  ,D     ,O           ,W       ,L            ,W
17  ,CA    ,U.S. Rep.      ,Erin        ,Cruz                    ,R     ,C           ,W       ,L            ,W
18  ,CA    ,U.S. Rep.      ,Audrey      ,Denney                  ,D     ,C           ,W       ,L            ,W
19  ,CA    ,U.S. Rep.      ,Angelica    ,Duenas                  ,D     ,C           ,W       ,L            ,H
20  ,CA    ,U.S. Rep.      ,Agnes       ,Gibboney                ,R     ,C           ,W       ,L            ,W
21  ,CA    ,U.S. Rep.      ,Georgette   ,Gomez                   ,D     ,O           ,W       ,L            ,H
22  ,CA    ,U.S. Rep.      ,Tamika      ,Hamilton                ,R     ,C           ,W       ,L            ,B
23  ,CA    ,U.S. Rep.      ,Alison      ,Hayden                  ,R     ,C           ,W       ,L            ,W
24  ,CA    ,U.S. Rep.      ,Analilia    ,Joya                    ,D     ,C           ,W       ,L            ,sent email 7/27/20
25  ,CA    ,U.S. Rep.      ,Brynne      ,Kennedy                 ,D     ,C           ,W       ,L            ,W
26  ,CA    ,U.S. Rep.      ,Kim         ,Mangone                 ,D     ,C           ,W       ,L            ,W
27  ,CA    ,U.S. Rep.      ,Nisha       ,Sharma                  ,R     ,C           ,W       ,L            ,AP
28  ,CA    ,U.S. Rep.      ,Christy     ,Smith                   ,D     ,C           ,W       ,L            ,W
29  ,CA    ,U.S. Rep.      ,Aja         ,Smith                   ,R     ,C           ,W       ,L            ,B
30  ,CO    ,U.S. Rep.      ,Jillian     ,Freeland                ,D     ,C           ,W       ,L            ,W
31  ,CO    ,U.S. Rep.      ,Diane       ,Mitsch Bush             ,D     ,O           ,W       ,L            ,W
