id,Position,Track Name,Artist,URL
1,1,love nwantiti (ah ah ah),CKay,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g
2,2,The Red Means I Love You,Madds Buckley,https://api.spotify.com/v1/tracks/5pLbM4PU1wZyMvoQyEAorp
3,3,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://api.spotify.com/v1/tracks/4gvrJnKCKIPiacNsWVQwEU
4,4,Do It To It,ACRAZE,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3
5,5,this is what falling in love feels like,JVKE,https://api.spotify.com/v1/tracks/4UG2Fm0E98LhE2dlNxiAXx
6,6,Meet Me At Our Spot,THE ANXIETY,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG
7,7,Two Moons,BoyWithUke,https://api.spotify.com/v1/tracks/5GxUKIEkMXXZo1Tif0IzfC
8,8,In My Mind,Lyn Lapid,https://api.spotify.com/v1/tracks/2W779g2UrRZtVdf3FcEOO1
9,9,Está Dañada,Ivan Cornejo,https://api.spotify.com/v1/tracks/6G2xXQRSZlEzYsUEb3uvuR
10,10,Jugaste y Sufrí,Eslabon Armado,https://api.spotify.com/v1/tracks/3NqBxTOMCJ3zW9CIP51td4
11,11,Life Goes On,Oliver Tree,https://api.spotify.com/v1/tracks/0eu4C55hL6x29mmeAjytzC
12,12,Linda,Tokischa,https://api.spotify.com/v1/tracks/1ahCrpeTt94LL7y1aXw0Y8
13,13,Cold Heart - PNAU Remix,Elton John,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz
14,14,STEREOTYPE,STAYC,https://api.spotify.com/v1/tracks/2bZIDMpzVooosmPHn0tHnd
15,15,Lay It Down,benu,https://api.spotify.com/v1/tracks/4RpxnofZXcrptoEaDACXdW
16,16,ONLY,LeeHi,https://api.spotify.com/v1/tracks/6TBJkXHPhu3EsMk1bshwuI
17,17,Gët Busy,Yeat,https://api.spotify.com/v1/tracks/20O48JTG6O46tPAuZbliRA
18,18,Pepas,Farruko,https://api.spotify.com/v1/tracks/2B4GHvToeLTOBB4QLzW3Ni
19,19,Light My Love,Greta Van Fleet,https://api.spotify.com/v1/tracks/4iya38ctQ1httyA6NOG9oW
20,20,I GUESS I'M IN LOVE,Clinton Kane,https://api.spotify.com/v1/tracks/1is8gU4RVcN4J8xItxWoOY
21,21,Feel Like God !*,VVS,https://api.spotify.com/v1/tracks/2H2DRNy6Og2QoezvwsH0yt
