id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
1,Sun 5/30,Afghanistan,70761,57450,2919
2,Sun 5/30,Albania,132309,129308,2450
3,Sun 5/30,Algeria,128725,89625,3465
4,Sun 5/30,Andorra,13693,13416,127
5,Sun 5/30,Angola,34366,27766,764
6,Sun 5/30,Antigua and Barbuda,1259,1206,42
7,Sun 5/30,Argentina,3753609,3319068,77456
8,Sun 5/30,Armenia,222636,212981,4432
9,Sun 5/30,Australia,30105,23581,910
10,Sun 5/30,Austria,644586,628312,10596
11,Sun 5/30,Azerbaijan,333864,324103,4907
12,Sun 5/30,Bahamas,11745,10642,229
13,Sun 5/30,Bahrain,238156,208445,953
14,Sun 5/30,Bangladesh,798830,738805,12583
15,Sun 5/30,Barbados,4017,3922,47
16,Sun 5/30,Belarus,393807,384933,2841
17,Sun 5/30,Belgium,1061200,0,24940
18,Sun 5/30,Belize,12791,12378,324
19,Sun 5/30,Benin,8058,7893,101
20,Sun 5/30,Bhutan,1612,1275,1
21,Sun 5/30,Bolivia,368474,292713,14471
22,Sun 5/30,Bosnia and Herzegovina,203839,174236,9211
23,Sun 5/30,Botswana,53771,50494,831
24,Sun 5/30,Brazil,16515120,14540507,461931
25,Sun 5/30,Brunei,241,228,3
26,Sun 5/30,Bulgaria,418274,380537,17662
27,Sun 5/30,Burkina Faso,13430,13248,166
28,Sun 5/30,Burma,143571,132318,3216
29,Sun 5/30,Burundi,4754,773,6
30,Sun 5/30,Cabo Verde,30359,28428,264
31,Sun 5/30,Cambodia,29404,22188,209
32,Sun 5/30,Cameroon,78929,35261,1275
33,Sun 5/30,Canada,1386871,1325932,25513
34,Sun 5/30,Central African Republic,7091,6859,98
35,Sun 5/30,Chad,4929,4746,173
36,Sun 5/30,Chile,1377507,1302518,29168
37,Sun 5/30,China,102987,97756,4846
38,Sun 5/30,Colombia,3383279,3153961,88282
39,Sun 5/30,Comoros,3881,3719,146
40,Sun 5/30,Congo (Brazzaville),11658,8208,153
41,Sun 5/30,Congo (Kinshasa),31557,27665,782
42,Sun 5/30,Costa Rica,314102,242019,3962
43,Sun 5/30,Cote d'Ivoire,47233,46642,303
44,Sun 5/30,Croatia,356141,345823,8014
45,Sun 5/30,Cuba,141166,134021,950
46,Sun 5/30,Cyprus,73439,39061,361
47,Sun 5/30,Czechia,1661159,1617517,30104
48,Sun 5/30,Denmark,281141,265264,2517
49,Sun 5/30,Diamond Princess,712,699,13
50,Sun 5/30,Djibouti,11528,11364,154
51,Sun 5/30,Dominica,188,186,0
52,Sun 5/30,Dominican Republic,291910,240993,3628
53,Sun 5/30,Ecuador,425841,375151,20545
54,Sun 5/30,Egypt,261666,191475,15047
55,Sun 5/30,El Salvador,73246,68408,2245
56,Sun 5/30,Equatorial Guinea,8529,8146,118
57,Sun 5/30,Eritrea,4061,3812,14
58,Sun 5/30,Estonia,129486,122997,1251
59,Sun 5/30,Eswatini,18591,17867,673
60,Sun 5/30,Ethiopia,271345,237544,4155
61,Sun 5/30,Fiji,401,164,4
62,Sun 5/30,Finland,92432,46000,948
63,Sun 5/30,France,5728539,391103,109567
64,Sun 5/30,Gabon,24365,21791,150
65,Sun 5/30,Gambia,5990,5767,178
66,Sun 5/30,Georgia,343603,326423,4757
67,Sun 5/30,Germany,3687715,3487850,88431
68,Sun 5/30,Ghana,93898,91961,785
69,Sun 5/30,Greece,401301,93764,12054
70,Sun 5/30,Grenada,161,160,1
71,Sun 5/30,Guatemala,254225,233002,8137
72,Sun 5/30,Guinea,23172,20971,161
73,Sun 5/30,Guinea-Bissau,3766,3518,68
74,Sun 5/30,Guyana,16910,14506,385
75,Sun 5/30,Haiti,14258,12528,307
76,Sun 5/30,Holy See,27,27,0
77,Sun 5/30,Honduras,236952,84389,6296
78,Sun 5/30,Hungary,804382,696029,29728
79,Sun 5/30,Iceland,6576,6476,30
80,Sun 5/30,India,28047534,25692342,329100
81,Sun 5/30,Indonesia,1816041,1663998,50404
82,Sun 5/30,Iran,2902094,2441528,79939
83,Sun 5/30,Iraq,1197082,1111466,16351
84,Sun 5/30,Ireland,261673,23364,4941
85,Sun 5/30,Israel,839458,832591,6411
86,Sun 5/30,Italy,4216003,3851661,126046
87,Sun 5/30,Jamaica,48467,25054,945
88,Sun 5/30,Japan,744696,671616,12979
89,Sun 5/30,Jordan,734659,714702,9436
90,Sun 5/30,Kazakhstan,441774,407252,7321
91,Sun 5/30,Kenya,170647,116776,3157
92,Sun 5/30,Kiribati,2,0,0
93,Sun 5/30,"Korea, South",140340,130823,1959
94,Sun 5/30,Kosovo,106997,102566,2248
95,Sun 5/30,Kuwait,307812,292701,1771
96,Sun 5/30,Kyrgyzstan,104555,98300,1803
97,Sun 5/30,Laos,1911,1426,3
98,Sun 5/30,Latvia,133098,125340,2370
99,Sun 5/30,Lebanon,540277,517859,7723
100,Sun 5/30,Lesotho,10831,6434,326
101,Sun 5/30,Liberia,2179,2033,86
102,Sun 5/30,Libya,185181,171637,3125
103,Sun 5/30,Liechtenstein,3101,2929,57
104,Sun 5/30,Lithuania,274199,254582,4257
105,Sun 5/30,Luxembourg,69830,67993,814
106,Sun 5/30,MS Zaandam,9,7,2
107,Sun 5/30,Madagascar,41266,40281,835
108,Sun 5/30,Malawi,34335,32609,1155
109,Sun 5/30,Malaysia,565533,484786,2729
110,Sun 5/30,Maldives,63686,39314,158
111,Sun 5/30,Mali,14265,9700,517
112,Sun 5/30,Malta,30533,30046,419
113,Sun 5/30,Marshall Islands,4,4,0
114,Sun 5/30,Mauritania,19494,18475,463
115,Sun 5/30,Mauritius,1367,1191,18
116,Sun 5/30,Mexico,2412810,1926287,223507
117,Sun 5/30,Micronesia,1,1,0
118,Sun 5/30,Moldova,255145,247444,6104
119,Sun 5/30,Monaco,2504,2466,32
120,Sun 5/30,Mongolia,57512,49754,272
121,Sun 5/30,Montenegro,99605,97161,1583
122,Sun 5/30,Morocco,519108,506962,9143
123,Sun 5/30,Mozambique,70780,69507,836
124,Sun 5/30,Namibia,55141,50443,824
125,Sun 5/30,Nepal,557124,440955,7272
126,Sun 5/30,Netherlands,1674694,26825,17895
127,Sun 5/30,New Zealand,2674,2630,26
128,Sun 5/30,Nicaragua,7324,4225,186
129,Sun 5/30,Niger,5410,5083,192
130,Sun 5/30,Nigeria,166315,156558,2071
131,Sun 5/30,North Macedonia,155269,148664,5408
132,Sun 5/30,Norway,124824,17998,783
133,Sun 5/30,Oman,216183,199287,2334
134,Sun 5/30,Pakistan,921053,841241,20779
135,Sun 5/30,Palau,0,0,0
136,Sun 5/30,Panama,377776,365125,6370
137,Sun 5/30,Papua New Guinea,15848,14937,162
138,Sun 5/30,Paraguay,352688,290467,9083
139,Sun 5/30,Peru,1947555,1897522,183391
140,Sun 5/30,Philippines,1223627,1149010,20860
141,Sun 5/30,Poland,2871950,2638222,73738
142,Sun 5/30,Portugal,848658,808813,17023
143,Sun 5/30,Qatar,217230,213007,554
144,Sun 5/30,Romania,1077584,1039173,30276
145,Sun 5/30,Russia,5005171,4623764,119130
146,Sun 5/30,Rwanda,26918,25609,352
147,Sun 5/30,Saint Kitts and Nevis,68,45,0
148,Sun 5/30,Saint Lucia,5053,4799,77
149,Sun 5/30,Saint Vincent and the Grenadines,2027,1831,12
150,Sun 5/30,Samoa,3,3,0
151,Sun 5/30,San Marino,5090,4995,90
152,Sun 5/30,Sao Tome and Principe,2345,2291,37
153,Sun 5/30,Saudi Arabia,449191,432138,7347
154,Sun 5/30,Senegal,41387,40027,1138
155,Sun 5/30,Serbia,712224,0,6854
156,Sun 5/30,Seychelles,11373,9936,40
157,Sun 5/30,Sierra Leone,4147,3131,79
158,Sun 5/30,Singapore,62028,61434,33
159,Sun 5/30,Slovakia,770851,255300,12339
160,Sun 5/30,Slovenia,253631,244937,4374
