id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Mon 11/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,0.3,11.75,90,15,N,0,0,999,100,1638219600,-32400
2,Alaska,Anchorage,2,Tue 11/30,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,12.18,17.69,84,11,N,0,0,982,100,1638306000,-32400
3,Alaska,Anchorage,3,Wed 12/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,11.91,18.03,90,9,N,0,0,999,92,1638392400,-32400
4,Alaska,Anchorage,4,Thu 12/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-1.12,11.57,78,10,N,0,0.37,1020,20,1638478800,-32400
5,Alaska,Anchorage,5,Fri 12/3,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,-4.58,-1.71,87,6,N,0,0,1025,29,1638565200,-32400
6,Alaska,Fairbanks,1,Mon 11/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-24.18,-13.16,89,4,N,0,0,1009,96,1638219600,-32400
7,Alaska,Fairbanks,2,Tue 11/30,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-12.69,-2.81,83,5,N,0,0,997,100,1638306000,-32400
8,Alaska,Fairbanks,3,Wed 12/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-11.52,-5.94,94,3,W,0,1.28,1008,100,1638392400,-32400
9,Alaska,Fairbanks,4,Thu 12/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-24.34,-6.2,92,3,NW,0,0.65,1032,100,1638478800,-32400
10,Alaska,Fairbanks,5,Fri 12/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,-27.92,-24.74,95,4,NE,0,0,1034,6,1638565200,-32400
11,Alaska,Juneau,1,Mon 11/29,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,28.72,32.13,84,10,S,0,9.01,1008,100,1638216000,-32400
